Profundidad;Cr;Co;Ni;Pb;Al
1;56,75;13,13;27,39;24,59;66,65
2;49,70;12,85;26,40;24,46;65,14
3;48,10;11,42;24,61;22,58;68,67
4;52,64;11,92;26,19;23,90;67,12
5;52,30;12,38;27,04;25,12;66,72
6;52,82;12,95;27,62;26,55;78,22
7;57,35;13,72;28,59;28,06;77,72
8;59,21;14,77;31,77;29,70;70,46
9;63,56;14,81;31,29;29,40;84,51
10;56,18;14,09;29,19;27,00;80,12
12;54,11;13,19;26,65;25,43;75,12
14;58,85;15,01;30,36;29,45;73,52
16;63,24;13,22;28,59;27,97;79,64
18;61,60;15,03;30,01;28,92;87,62
20;59,16;15,48;30,82;31,16;86,22
22;59,93;16,26;32,12;34,27;87,08
24;59,23;14,58;28,98;28,58;68,39
26;53,53;13,24;27,27;26,62;66,07
28;48,14;13,51;27,33;26,20;60,05
30;54,19;13,52;28,75;27,16;67,20
32;54,26;13,16;28,09;26,50;73,13
34;53,62;14,05;29,19;27,54;66,78
36;59,51;13,66;29,83;28,22;72,72
38;59,69;13,22;30,24;31,51;76,69
40;53,44;14,24;30,04;26,90;66,72
42;56,85;15,93;31,40;27,69;67,81
44;53,65;16,69;29,75;24,86;63,22
46;56,55;14,95;30,03;25,41;68,42
50;58,89;14,69;30,06;26,94;65,91
65;57,25;15,69;30,06;24,89;68,27
70;59,53;15,40;30,71;29,92;77,98
73;57,28;15,03;29,77;26,58;65,02
76;35,01;9,41;18,57;13,83;36,48
85;39,59;11,45;22,58;17,27;45,48
90;31,06;9,57;19,98;13,74;30,55
95;49,44;16,25;27,24;22,11;59,46
100;33,08;9,13;18,46;13,90;33,29
105;41,98;12,71;24,05;17,67;41,72
110;43,04;12,70;23,94;19,08;49,16
115;46,18;14,39;25,14;18,07;50,00
120;46,01;14,63;26,30;17,51;48,24
130;51,02;17,98;32,04;24,52;65,04
140;47,35;17,38;30,95;22,00;50,97
150;49,86;16,73;31,15;21,72;55,96
160;42,78;13,50;24,77;16,46;47,29
170;43,35;15,42;28,31;20,07;48,80
200;47,81;17,02;30,49;22,14;53,21
220;56,03;17,48;32,46;23,88;65,75
240;55,07;17,98;33,16;25,20;64,77
250;50,85;15,91;29,11;21,31;58,44
270;52,89;16,14;29,37;21,66;55,09
290;53,04;16,61;30,82;22,88;56,88
300;52,07;16,10;30,83;24,98;56,78
320;49,38;15,75;28,80;20,17;57,68
340;47,68;15,36;28,60;19,09;51,33
